location,province,area,owner,culture,population_thousands,selector_type,selector,source,confidence,note
auneau,chartrain_province,orleanais_area,ROM,antq_carnutian,25.586,province,chartrain_province,P10;STR-GAL;PLN-GAL;OCD-GAL;PLE,contested,Carnutes campaign-boundary proxy in the central Loire basin; not an exact tribal polygon
aurillac,upper_auvergne_province,auvergne_area,ROM,antq_arvernian,46.714,province,upper_auvergne_province,P10;STR-GAL;PLN-GAL;OCD-GAL;PLE,contested,Arverni campaign-boundary proxy in the Massif Central; not an exact tribal polygon
autun,autunnais_province,burgundy_area,ROM,antq_aeduan,36.026,province,autunnais_province,P10;STR-GAL;PLN-GAL;OCD-GAL;PLE,contested,Aedui campaign-boundary proxy in the Saone basin; not an exact tribal polygon
auxerre,auxerrois_province,burgundy_area,ROM,antq_senonian,34.505,province,auxerrois_province,P10;STR-GAL;PLN-GAL;OCD-GAL;PLE,contested,Senones campaign-boundary proxy along the upper Yonne; not an exact tribal polygon
auxonne,dijonnais_province,burgundy_area,ROM,antq_lingonian,13.043,province,dijonnais_province,P10;STR-GAL;PLN-GAL;OCD-GAL;PLE,contested,Lingones campaign-boundary proxy around Divio and the northern Saone approach; not an exact tribal polygon
avallon,auxerrois_province,burgundy_area,ROM,antq_senonian,33.596,province,auxerrois_province,P10;STR-GAL;PLN-GAL;OCD-GAL;PLE,contested,Senones campaign-boundary proxy along the upper Yonne; not an exact tribal polygon
avignon,avignonnais_province,provence_area,ROM,antq_cavaric,54.270,province,avignonnais_province,P10;STR-GAL;PLN-GAL;OCD-GAL;PLE,contested,Cavares campaign-boundary proxy in lower Rhone Gaul; not an exact tribal polygon
avranches,cotentin_province,normandy_area,ROM,antq_unellian,51.741,province,cotentin_province,P10;STR-GAL;PLN-GAL;OCD-GAL;PLE,contested,Unelli campaign-boundary proxy in northern Gaul; not an exact tribal polygon
bage,bresse_province,lyonnais_area,ROM,antq_ambarrian,30.194,province,bresse_province,P10;STR-GAL;PLN-GAL;OCD-GAL;PLE,contested,Ambarri campaign-boundary proxy between the Saone and upper Rhone; not an exact tribal polygon
bapaume,lower_artois_province,picardy_area,ROM,antq_atrebatian,25.158,province,lower_artois_province,P10;STR-GAL;PLN-GAL;OCD-GAL;PLE,contested,Atrebates campaign-boundary proxy around Nemetacum; not an exact tribal polygon
bar_le_duc,barrois_province,lorraine_area,ROM,antq_leucian,38.518,province,barrois_province,P10;STR-GAL;PLN-GAL;OCD-GAL;PLE,contested,Leuci campaign-boundary proxy in the upper Moselle basin; not an exact tribal polygon
bar_sur_aube,perthois_province,champagne_area,ROM,antq_belgic,37.313,area,champagne_area,P8.1;P10;CAH-XI;PLE,contested,Belgic regional proxy under Roman provincial integration
bar_sur_seine,senonais_province,champagne_area,ROM,antq_senonian,22.930,province,senonais_province,P10;STR-GAL;PLN-GAL;OCD-GAL;PLE,contested,Senones campaign-boundary proxy in the upper Seine basin; not an exact tribal polygon
barcelonnette,dignois_province,provence_area,ROM,antq_vocontian,5.498,province,dignois_province,P10;STR-GAL;PLN-GAL;OCD-GAL;PLE,contested,Vocontii-facing pre-Alpine campaign proxy around Dinia; not an exact tribal polygon
barjols,dracenois_province,provence_area,ROM,antq_saluvian,24.493,province,dracenois_province,P10;STR-GAL;PLN-GAL;OCD-GAL;PLE,contested,Saluvii campaign-boundary proxy in the lower Provençal interior; not an exact tribal polygon
bastogne,west_luxembourg_province,wallonia_area,ROM,antq_belgic,11.774,area,wallonia_area,P8.7;P10;CAH-XI,contested,Belgic regional proxy under Roman frontier influence
bauge,anjou_province,anjou_area,ROM,antq_andecavian,45.964,province,anjou_province,P10;STR-GAL;PLN-GAL;OCD-GAL;PLE,contested,Andecavi campaign-boundary proxy in the Loire basin; not an exact tribal polygon
baume,amont_province,franche_comte_area,ROM,antq_sequanian,35.137,province,amont_province,P10;STR-GAL;PLN-GAL;OCD-GAL;PLE,contested,Sequani campaign-boundary proxy in the upper Saone and Jura approach; not an exact tribal polygon
bayeux,caennais_province,normandy_area,ROM,antq_baiocassian,43.267,province,caennais_province,P10;STR-GAL;PLN-GAL;OCD-GAL;PLE,contested,Baiocasses campaign-boundary proxy in northern Gaul; not an exact tribal polygon
bayonne,bayonne_province,gascony_area,ROM,antq_tarbellian,26.532,province,bayonne_province,P10;STR-GAL;PLN-GAL;OCD-GAL;PLE,contested,Tarbelli campaign-boundary proxy in Aquitania; not an exact tribal polygon
bazas,bazadais_province,guyenne_area,ROM,antq_aquitanian,18.069,area,guyenne_area,P10;CAH-XI;PLE,contested,Aquitanian regional frame
beaugency,orleanais_province,orleanais_area,ROM,antq_carnutian,36.002,province,orleanais_province,P10;STR-GAL;PLN-GAL;OCD-GAL;PLE,contested,Carnutes campaign-boundary proxy around Cenabum; not an exact tribal polygon
beaujeu,beaujolais_province,lyonnais_area,ROM,antq_segusiavian,23.507,province,beaujolais_province,P10;STR-GAL;PLN-GAL;OCD-GAL;PLE,contested,Segusiavi campaign-boundary proxy north of Lugdunum; not an exact tribal polygon
beaumont_au_maine,upper_maine_province,anjou_area,ROM,antq_aulerci_cenomanian,32.207,province,upper_maine_province,P10;STR-GAL;PLN-GAL;OCD-GAL;PLE,contested,Aulerci Cenomani campaign-boundary proxy; not an exact tribal polygon
beaune,dijonnais_province,burgundy_area,ROM,antq_lingonian,29.007,province,dijonnais_province,P10;STR-GAL;PLN-GAL;OCD-GAL;PLE,contested,Lingones campaign-boundary proxy around Divio and the northern Saone approach; not an exact tribal polygon
beaupreau,anjou_province,anjou_area,ROM,antq_andecavian,30.875,province,anjou_province,P10;STR-GAL;PLN-GAL;OCD-GAL;PLE,contested,Andecavi campaign-boundary proxy in the Loire basin; not an exact tribal polygon
beauvais,beauvaisis_province,ile_de_france_area,ROM,antq_bellovacian,24.739,province,beauvaisis_province,P10;STR-GAL;PLN-GAL;OCD-GAL;PLE,contested,Bellovaci campaign-boundary proxy in northern Gaul; not an exact tribal polygon
beauvoir,lower_poitou_province,poitou_area,ROM,antq_pictonian,28.466,province,lower_poitou_province,P10;STR-GAL;PLN-GAL;OCD-GAL;PLE,contested,Pictones campaign-boundary proxy in lower Poitou; not an exact tribal polygon
belin,bazadais_province,guyenne_area,ROM,antq_aquitanian,22.697,area,guyenne_area,P10;CAH-XI;PLE,contested,Aquitanian regional frame
bellac,la_marche_province,limousin_province,ROM,antq_lemovician,23.253,province,limousin_province,P10;STR-GAL;PLN-GAL;OCD-GAL;PLE,contested,Lemovices campaign-boundary proxy around Augustoritum and the Limousin uplands; not an exact tribal polygon
belleme,perche_province,anjou_area,ROM,antq_carnutian,40.417,province,perche_province,P10;STR-GAL;PLN-GAL;OCD-GAL;PLE,contested,Carnutes campaign-boundary proxy east of the lower Aulerci frames; not an exact tribal polygon
belley,bresse_province,lyonnais_area,ROM,antq_ambarrian,25.639,province,bresse_province,P10;STR-GAL;PLN-GAL;OCD-GAL;PLE,contested,Ambarri campaign-boundary proxy between the Saone and upper Rhone; not an exact tribal polygon
benauges,bordelais_province,guyenne_area,ROM,antq_viviscan,29.197,province,bordelais_province,P10;STR-GAL;PLN-GAL;OCD-GAL;PLE,contested,Bituriges Vivisci campaign-boundary proxy around Burdigala; not an exact tribal polygon
bergen_zoom,antwerp_province,brabant_area,BTV,antq_belgic,2.082,area,brabant_area,P8.7;P10;CAH-XI,contested,Belgic regional proxy under Roman frontier influence
bergerac,perigord_province,guyenne_area,ROM,antq_petrocorian,35.090,province,perigord_province,P10;STR-GAL;PLN-GAL;OCD-GAL;PLE,contested,Petrocorii campaign-boundary proxy in Aquitania; not an exact tribal polygon
bernay,ebroicien_province,normandy_area,ROM,antq_aulerci_eburovician,48.238,province,ebroicien_province,P10;STR-GAL;PLN-GAL;OCD-GAL;PLE,contested,Aulerci Eburovices campaign-boundary proxy; not an exact tribal polygon
besancon,millieu_province,franche_comte_area,ROM,antq_sequanian,13.545,province,millieu_province,P10;STR-GAL;PLN-GAL;OCD-GAL;PLE,contested,Sequani campaign-boundary proxy around Vesontio; not an exact tribal polygon
bethune,upper_artois_province,picardy_area,ROM,antq_atrebatian,27.809,province,upper_artois_province,P10;STR-GAL;PLN-GAL;OCD-GAL;PLE,contested,Atrebates campaign-boundary proxy in inland Artois; not an exact tribal polygon
beziers,narbonnais_province,languedoc_area,ROM,antq_elisycean,43.757,province,narbonnais_province,P10;STR-GAL;PLN-GAL;OCD-GAL;PLE,contested,Elisyces and Narbonensian littoral campaign proxy; Roman colonial presence does not make the entire province culturally uniform
bitche,sarregueminois_province,lorraine_area,ROM,antq_belgic,20.813,area,lorraine_area,P8.1;P10;CAH-XI;PLE,contested,Belgic regional proxy under Roman provincial integration
blain,nantais_province,brittany_area,ROM,antq_namnetian,46.803,province,nantais_province,P10;STR-GAL;PLN-GAL;OCD-GAL;PLE,contested,Armorican Namnetes campaign-boundary proxy; not an exact tribal polygon
blois,blois_province,orleanais_area,ROM,antq_carnutian,30.676,province,blois_province,P10;STR-GAL;PLN-GAL;OCD-GAL;PLE,contested,Carnutes campaign-boundary proxy in the central Loire basin; not an exact tribal polygon
bordeaux,bordelais_province,guyenne_area,ROM,antq_viviscan,39.118,province,bordelais_province,P10;STR-GAL;PLN-GAL;OCD-GAL;PLE,contested,Bituriges Vivisci campaign-boundary proxy around Burdigala; not an exact tribal polygon
borgloon,loon_province,brabant_area,BTV,antq_belgic,3.606,area,brabant_area,P8.7;P10;CAH-XI,contested,Belgic regional proxy under Roman frontier influence
bouillon,west_luxembourg_province,wallonia_area,ROM,antq_belgic,2.515,area,wallonia_area,P8.7;P10;CAH-XI,contested,Belgic regional proxy under Roman frontier influence
boulogne_sur_mer,ponthieu_province,picardy_area,ROM,antq_morinian,47.728,province,ponthieu_province,P10;STR-GAL;PLN-GAL;OCD-GAL;PLE,contested,Morini campaign-boundary proxy along the Channel coast; not an exact tribal polygon
bourbon,bourbon_province,auvergne_area,ROM,antq_arvernian,39.279,province,bourbon_province,P10;STR-GAL;PLN-GAL;OCD-GAL;PLE,contested,Northern Arvernian campaign proxy across the Bourbonnais interface; not an exact tribal polygon
bourg_en_bresse,bresse_province,lyonnais_area,ROM,antq_ambarrian,35.168,province,bresse_province,P10;STR-GAL;PLN-GAL;OCD-GAL;PLE,contested,Ambarri campaign-boundary proxy between the Saone and upper Rhone; not an exact tribal polygon
bourganeuf,la_marche_province,limousin_province,ROM,antq_lemovician,22.813,province,limousin_province,P10;STR-GAL;PLN-GAL;OCD-GAL;PLE,contested,Lemovices campaign-boundary proxy around Augustoritum and the Limousin uplands; not an exact tribal polygon
bourges,upper_berry_province,orleanais_area,ROM,antq_biturigan_cubian,28.891,province,upper_berry_province,P10;STR-GAL;PLN-GAL;OCD-GAL;PLE,contested,Bituriges Cubi campaign-boundary proxy in central Gaul; not an exact tribal polygon
boussac,lower_berry_province,orleanais_area,ROM,antq_biturigan_cubian,29.389,province,lower_berry_province,P10;STR-GAL;PLN-GAL;OCD-GAL;PLE,contested,Bituriges Cubi campaign-boundary proxy in lower Berry; not an exact tribal polygon
braine,soissonais_province,ile_de_france_area,ROM,antq_suessionian,14.509,province,soissonais_province,P10;STR-GAL;PLN-GAL;OCD-GAL;PLE,contested,Suessiones campaign-boundary proxy in northeastern Gaul; not an exact tribal polygon
breda,antwerp_province,brabant_area,BTV,antq_belgic,3.780,area,brabant_area,P8.7;P10;CAH-XI,contested,Belgic regional proxy under Roman frontier influence
bree,loon_province,brabant_area,BTV,antq_belgic,2.932,area,brabant_area,P8.7;P10;CAH-XI,contested,Belgic regional proxy under Roman frontier influence
brest,tregor_province,brittany_area,ROM,antq_armorican,38.015,area,brittany_area,P10;CAH-XI;PLE,contested,Armorican regional frame
breteuil,amienois_province,picardy_area,ROM,antq_ambianian,28.465,province,amienois_province,P10;STR-GAL;PLN-GAL;OCD-GAL;PLE,contested,Ambiani campaign-boundary proxy in the Somme basin; not an exact tribal polygon
briancon,gresivaudan_province,savoy_area,ROM,antq_allobrogian,27.552,province,gresivaudan_province,P10;STR-GAL;PLN-GAL;OCD-GAL;PLE,contested,Allobroges-facing campaign proxy around Cularo and the Isere valley; not an exact tribal polygon
brie_comte_robert,gatinais_province,ile_de_france_area,ROM,antq_senonian,25.250,province,gatinais_province,P10;STR-GAL;PLN-GAL;OCD-GAL;PLE,contested,Senones campaign-boundary proxy southeast of the Parisii; not an exact tribal polygon
brienne,champagne_province,champagne_area,ROM,antq_belgic,6.612,area,champagne_area,P8.1;P10;CAH-XI;PLE,contested,Belgic regional proxy under Roman provincial integration
brignoles,dracenois_province,provence_area,ROM,antq_saluvian,29.028,province,dracenois_province,P10;STR-GAL;PLN-GAL;OCD-GAL;PLE,contested,Saluvii campaign-boundary proxy in the lower Provençal interior; not an exact tribal polygon
brioude,lower_auvergne_province,auvergne_area,ROM,antq_arvernian,47.180,province,lower_auvergne_province,P10;STR-GAL;PLN-GAL;OCD-GAL;PLE,contested,Arverni campaign-boundary proxy around Augustonemetum; not an exact tribal polygon
brosse,la_marche_province,limousin_province,ROM,antq_lemovician,33.751,province,limousin_province,P10;STR-GAL;PLN-GAL;OCD-GAL;PLE,contested,Lemovices campaign-boundary proxy around Augustoritum and the Limousin uplands; not an exact tribal polygon
broyes,brie_champenois_province,champagne_area,ROM,antq_belgic,45.819,area,champagne_area,P8.1;P10;CAH-XI;PLE,contested,Belgic regional proxy under Roman provincial integration
bruges,west_flanders_province,flanders_area,ROM,antq_belgic,75.000,area,flanders_area,P8.7;P10;CAH-XI,contested,Belgic regional proxy under Roman frontier influence
brussels,brabant_province,brabant_area,BTV,antq_belgic,13.176,area,brabant_area,P8.7;P10;CAH-XI,contested,Belgic regional proxy under Roman frontier influence
caen,caennais_province,normandy_area,ROM,antq_baiocassian,62.324,province,caennais_province,P10;STR-GAL;PLN-GAL;OCD-GAL;PLE,contested,Baiocasses campaign-boundary proxy in northern Gaul; not an exact tribal polygon
cahors,quercy_province,guyenne_area,ROM,antq_cadurcian,52.152,province,quercy_province,P10;STR-GAL;PLN-GAL;OCD-GAL;PLE,contested,Cadurci campaign-boundary proxy in Aquitania; not an exact tribal polygon
calais,ponthieu_province,picardy_area,ROM,antq_morinian,24.965,province,ponthieu_province,P10;STR-GAL;PLN-GAL;OCD-GAL;PLE,contested,Morini campaign-boundary proxy along the Channel coast; not an exact tribal polygon
cambrai,lower_artois_province,picardy_area,ROM,antq_atrebatian,31.749,province,lower_artois_province,P10;STR-GAL;PLN-GAL;OCD-GAL;PLE,contested,Atrebates campaign-boundary proxy around Nemetacum; not an exact tribal polygon
carcassonne,razes_province,languedoc_area,ROM,antq_volcan_tectosagian,39.452,province,razes_province,P10;STR-GAL;PLN-GAL;OCD-GAL;PLE,contested,Western Volcae Tectosages campaign proxy around Carcaso; not an exact tribal polygon
carhaix,cornouaille_province,brittany_area,ROM,antq_osismian,29.424,province,cornouaille_province,P10;STR-GAL;PLN-GAL;OCD-GAL;PLE,contested,Armorican Osismi campaign-boundary proxy; not an exact tribal polygon
cassel,west_flanders_province,flanders_area,ROM,antq_belgic,27.593,area,flanders_area,P8.7;P10;CAH-XI,contested,Belgic regional proxy under Roman frontier influence
castellane,dignois_province,provence_area,ROM,antq_vocontian,21.118,province,dignois_province,P10;STR-GAL;PLN-GAL;OCD-GAL;PLE,contested,Vocontii-facing pre-Alpine campaign proxy around Dinia; not an exact tribal polygon
castelnau_de_medoc,bordelais_province,guyenne_area,ROM,antq_viviscan,25.368,province,bordelais_province,P10;STR-GAL;PLN-GAL;OCD-GAL;PLE,contested,Bituriges Vivisci campaign-boundary proxy around Burdigala; not an exact tribal polygon
castelnaudary,toulousain_province,languedoc_area,ROM,antq_volcan_tectosagian,9.902,province,toulousain_province,P10;STR-GAL;PLN-GAL;OCD-GAL;PLE,contested,Volcae Tectosages campaign-boundary proxy in Narbonensis; not an exact tribal polygon
castres,castres_province,languedoc_area,ROM,antq_rutenian,31.791,province,castres_province,P10;STR-GAL;PLN-GAL;OCD-GAL;PLE,contested,Ruteni campaign-boundary proxy in the Albi-Castres upland; not an exact tribal polygon
cercy,nevernais_province,burgundy_area,ROM,antq_aeduan,29.362,province,nevernais_province,P10;STR-GAL;PLN-GAL;OCD-GAL;PLE,contested,Aedui campaign-boundary proxy around Noviodunum and the western Saone-Loire interface; not an exact tribal polygon
chabanais,angouleme_province,poitou_area,ROM,antq_santonian,46.415,province,angouleme_province,P10;STR-GAL;PLN-GAL;OCD-GAL;PLE,contested,Santones-facing campaign proxy around Iculisma; not an exact tribal polygon or a denial of local identities
chalancon,vivarais_province,languedoc_area,ROM,antq_helvian,32.093,province,vivarais_province,P10;STR-GAL;PLN-GAL;OCD-GAL;PLE,contested,Helvii campaign-boundary proxy by the Rhone; not an exact tribal polygon
chalon_sur_saone,dijonnais_province,burgundy_area,ROM,antq_lingonian,41.510,province,dijonnais_province,P10;STR-GAL;PLN-GAL;OCD-GAL;PLE,contested,Lingones campaign-boundary proxy around Divio and the northern Saone approach; not an exact tribal polygon
chalons_champagne,remois_province,champagne_area,ROM,antq_remian,23.613,province,remois_province,P10;STR-GAL;PLN-GAL;OCD-GAL;PLE,contested,Remi campaign-boundary proxy in Champagne; not an exact tribal polygon
chambery,savoy_province,savoy_area,ROM,antq_ceutronian,40.843,province,savoy_province,P10;STR-GAL;PLN-GAL;OCD-GAL;PLE,contested,Ceutrones campaign-boundary proxy in Tarentaise and high Savoy; not an exact tribal polygon
chambon,combraille_province,auvergne_area,ROM,antq_arvernian,18.845,province,combraille_province,P10;STR-GAL;PLN-GAL;OCD-GAL;PLE,contested,Arverni campaign-boundary proxy in the Combrailles upland; not an exact tribal polygon
charolles,autunnais_province,burgundy_area,ROM,antq_aeduan,36.034,province,autunnais_province,P10;STR-GAL;PLN-GAL;OCD-GAL;PLE,contested,Aedui campaign-boundary proxy in the Saone basin; not an exact tribal polygon
charroux,la_marche_province,limousin_province,ROM,antq_lemovician,30.349,province,limousin_province,P10;STR-GAL;PLN-GAL;OCD-GAL;PLE,contested,Lemovices campaign-boundary proxy around Augustoritum and the Limousin uplands; not an exact tribal polygon
chartres,chartrain_province,orleanais_area,ROM,antq_carnutian,27.380,province,chartrain_province,P10;STR-GAL;PLN-GAL;OCD-GAL;PLE,contested,Carnutes campaign-boundary proxy in the central Loire basin; not an exact tribal polygon
chateau_chinon,nevernais_province,burgundy_area,ROM,antq_aeduan,28.445,province,nevernais_province,P10;STR-GAL;PLN-GAL;OCD-GAL;PLE,contested,Aedui campaign-boundary proxy around Noviodunum and the western Saone-Loire interface; not an exact tribal polygon
chateau_du_loir,upper_maine_province,anjou_area,ROM,antq_aulerci_cenomanian,26.265,province,upper_maine_province,P10;STR-GAL;PLN-GAL;OCD-GAL;PLE,contested,Aulerci Cenomani campaign-boundary proxy; not an exact tribal polygon
chateau_gontier,anjou_province,anjou_area,ROM,antq_andecavian,40.440,province,anjou_province,P10;STR-GAL;PLN-GAL;OCD-GAL;PLE,contested,Andecavi campaign-boundary proxy in the Loire basin; not an exact tribal polygon
chateau_porcien,rethelois_province,champagne_area,ROM,antq_belgic,42.236,area,champagne_area,P8.1;P10;CAH-XI;PLE,contested,Belgic regional proxy under Roman provincial integration
chateau_thierry,brie_champenois_province,champagne_area,ROM,antq_belgic,47.679,area,champagne_area,P8.1;P10;CAH-XI;PLE,contested,Belgic regional proxy under Roman provincial integration
chateaubriant,nantais_province,brittany_area,ROM,antq_namnetian,47.973,province,nantais_province,P10;STR-GAL;PLN-GAL;OCD-GAL;PLE,contested,Armorican Namnetes campaign-boundary proxy; not an exact tribal polygon
chateaudun,blois_province,orleanais_area,ROM,antq_carnutian,32.750,province,blois_province,P10;STR-GAL;PLN-GAL;OCD-GAL;PLE,contested,Carnutes campaign-boundary proxy in the central Loire basin; not an exact tribal polygon
chateaulin,cornouaille_province,brittany_area,ROM,antq_osismian,30.496,province,cornouaille_province,P10;STR-GAL;PLN-GAL;OCD-GAL;PLE,contested,Armorican Osismi campaign-boundary proxy; not an exact tribal polygon
chateauneuf_de_randon,gevaudan_province,languedoc_area,ROM,antq_gabalian,23.789,province,gevaudan_province,P10;STR-GAL;PLN-GAL;OCD-GAL;PLE,contested,Gabali campaign-boundary proxy in the Gevaudan uplands; not an exact tribal polygon
chateauroux,lower_berry_province,orleanais_area,ROM,antq_biturigan_cubian,37.868,province,lower_berry_province,P10;STR-GAL;PLN-GAL;OCD-GAL;PLE,contested,Bituriges Cubi campaign-boundary proxy in lower Berry; not an exact tribal polygon
chatelaudren,tregor_province,brittany_area,ROM,antq_armorican,40.440,area,brittany_area,P10;CAH-XI;PLE,contested,Armorican regional frame
chatellerault,upper_poitou_province,poitou_area,ROM,antq_pictonian,23.598,province,upper_poitou_province,P10;STR-GAL;PLN-GAL;OCD-GAL;PLE,contested,Pictones campaign-boundary proxy on the Atlantic side; not an exact tribal polygon
