section,key,location,parent,size_thousands,share_percent,source,confidence,note
roster_region,Korea,,korea,1500.000,100.000,P8.3;P12.4,contested,Observed geography after macro allocation and caps
roster_region,Lanka,,india,1225.942,3.065,P8.4;P12.4,contested,Observed geography after macro allocation and caps
roster_region,Levant,,other_old_world,310.000,1.051,P8.1;P12.4,contested,Observed geography after macro allocation and caps
roster_region,Mesoamerica,,americas,7105.964,50.757,P8.10;P12.4,contested,Observed geography after macro allocation and caps
roster_region,Mesopotamia,,parthia,220.000,2.444,P8.2;P12.4,contested,Observed geography after macro allocation and caps
roster_region,North America,,americas,1788.368,12.774,P8.10;P12.4,contested,Observed geography after macro allocation and caps
roster_region,Northern Andes,,americas,841.704,6.012,P8.10;P12.4,contested,Observed geography after macro allocation and caps
roster_region,Oceania,,other_old_world,749.332,2.540,P8.9;P12.4,contested,Observed geography after macro allocation and caps
roster_region,Pontic,,non_roman_europe,699.893,8.234,P8.7;P12.4,contested,Observed geography after macro allocation and caps
roster_region,Rome,,roman_empire,47500.000,100.000,P8.1;P12.4,secure,Observed geography after macro allocation and caps
roster_region,Scandinavia,,non_roman_europe,449.757,5.291,P8.7;P12.4,contested,Observed geography after macro allocation and caps
roster_region,Southeast Asia,,southeast_asia,4000.000,100.000,P8.9;P12.4,contested,Observed geography after macro allocation and caps
roster_region,Steppe,,central_steppe,2128.299,42.566,P8.8;P12.4,contested,Observed geography after macro allocation and caps
roster_region,Tarim,,central_steppe,436.373,8.727,P8.3;P12.4,contested,Observed geography after macro allocation and caps
roster_region,West Africa,,sub_saharan_africa,2564.507,20.469,P8.5;P12.4,contested,Observed geography after macro allocation and caps
italy_subregion,italy_campania,,Rome,1000.000,13.333,P12.4;FRIER-DEM;CAH-XI,contested,Campanian allocation includes Neapolis Puteoli Capua and dense coastal agriculture
italy_subregion,italy_cisalpine,,Rome,2300.000,30.667,P12.4;FRIER-DEM;SCHEIDEL-ITALY,contested,Cisalpine and northeastern Italy gameplay partition
italy_subregion,italy_etruria_umbria,,Rome,1100.000,14.667,P12.4;FRIER-DEM;CAH-XI,contested,Etrurian Umbrian and Picene gameplay partition
italy_subregion,italy_lazio,,Rome,1500.000,20.000,P12.4;FRIER-DEM;SCHEIDEL-ITALY,contested,Latium allocation includes the Roman metropolitan field and its agrarian support zone
italy_subregion,italy_sardinia_corsica,,Rome,250.000,3.333,P12.4;FRIER-DEM;CAH-XI,contested,Sardinian and Corsican share within the plan Italy range
italy_subregion,italy_sicily,,Rome,500.000,6.667,P12.4;FRIER-DEM;CAH-XI,contested,Sicilian share within the plan Italy range
italy_subregion,italy_south_adriatic,,Rome,850.000,11.333,P12.4;FRIER-DEM;CAH-XI,contested,Samnite Apulian Lucanian and Bruttian gameplay partition
italy_culture,antq_latin,,italy,2500.000,33.333,generated-cross-table,audit,Culture is reported separately from Italian geography
italy_culture,antq_cisalpine_gallic,,italy,1510.317,20.138,generated-cross-table,audit,Culture is reported separately from Italian geography
italy_culture,antq_oscan_umbrian,,italy,1242.868,16.572,generated-cross-table,audit,Culture is reported separately from Italian geography
italy_culture,antq_etruscan,,italy,707.132,9.428,generated-cross-table,audit,Culture is reported separately from Italian geography
italy_culture,antq_venetic,,italy,591.032,7.880,generated-cross-table,audit,Culture is reported separately from Italian geography
italy_culture,antq_greek_koine,,italy,500.000,6.667,generated-cross-table,audit,Culture is reported separately from Italian geography
italy_culture,antq_nuragic,,italy,250.000,3.333,generated-cross-table,audit,Culture is reported separately from Italian geography
italy_culture,antq_ligurian,,italy,198.651,2.649,generated-cross-table,audit,Culture is reported separately from Italian geography
global_culture,antq_wu_yue,,world,9794.581,4.259,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_indo_aryan,,world,9270.672,4.031,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_jin_han,,world,6487.339,2.821,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_arab,,world,6353.776,2.763,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_yan_han,,world,5283.942,2.297,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_lingnan_yue,,world,5031.804,2.188,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_chu_han,,world,4990.323,2.170,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_zhongyuan_han,,world,4938.267,2.147,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_poyang_han,,world,4642.732,2.019,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_proto_telugu_kannada,,world,4494.952,1.954,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_egyptian,,world,3635.779,1.581,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_gandhari,,world,3461.879,1.505,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_min_yue,,world,3239.938,1.409,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_armenian,,world,3220.151,1.400,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_deccan_prakrit,,world,3212.227,1.397,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_teotihuacano,,world,3202.622,1.392,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_himyarite,,world,3171.726,1.379,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_aramaic,,world,2986.385,1.298,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_latin,,world,2885.809,1.255,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_greek_koine,,world,2832.878,1.232,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_qilu_han,,world,2748.517,1.195,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_tamil,,world,2448.380,1.065,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_phoenician_punic,,world,2386.354,1.038,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_thracian,,world,2381.229,1.035,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_hexi_han,,world,2321.454,1.009,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_qin_han,,world,2313.498,1.006,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_berber,,world,2312.010,1.005,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_sabaean,,world,2178.564,0.947,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_cappadocian,,world,2175.149,0.946,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_parthian,,world,2049.478,0.891,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_caucasian_albanian,,world,1921.502,0.835,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_belgic,,world,1899.821,0.826,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_kartvelian,,world,1830.619,0.796,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_median,,world,1720.008,0.748,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_celtiberian,,world,1597.028,0.694,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_shu_han,,world,1580.575,0.687,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_cisalpine_gallic,,world,1510.317,0.657,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_kosala_prakrit,,world,1472.881,0.640,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_noric,,world,1466.223,0.637,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_kalingan,,world,1462.316,0.636,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_maya,,world,1421.416,0.618,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_vietic,,world,1396.308,0.607,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_yaudheya_prakrit,,world,1393.443,0.606,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_saka,,world,1380.304,0.600,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_andean_regional,,world,1273.820,0.554,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_sogdian,,world,1246.900,0.542,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_oscan_umbrian,,world,1242.868,0.540,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_sinhala,,world,1225.942,0.533,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_lusitanian,,world,1220.124,0.530,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_panchala_prakrit,,world,1219.075,0.530,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_javanese,,world,1190.763,0.518,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_magadhi_prakrit,,world,1174.389,0.511,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_ba_han,,world,1170.562,0.509,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_purepecha_precursor,,world,1131.340,0.492,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_geez,,world,1103.531,0.480,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_vanga_early_historic,,world,1069.195,0.465,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_rarh_early_historic,,world,1022.540,0.445,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_dian,,world,1012.023,0.440,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_meroitic,,world,991.326,0.431,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_samatata_early_historic,,world,978.585,0.425,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_pannonian,,world,960.793,0.418,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_colchian,,world,953.279,0.414,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_pundra_early_historic,,world,941.861,0.410,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_chota_nagpur_megalithic,,world,918.928,0.400,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_chibchan,,world,855.328,0.372,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_videha_prakrit,,world,844.535,0.367,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_gaetulian,,world,826.922,0.360,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_puquina,,world,823.974,0.358,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_buyeo_goguryeoic,,world,811.293,0.353,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_blemmyan,,world,798.499,0.347,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_wa,,world,793.825,0.345,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_xiongnu,,world,777.168,0.338,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_aymara,,world,768.957,0.334,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_kashi_prakrit,,world,739.715,0.322,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_nubian,,world,736.508,0.320,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_khmer,,world,722.366,0.314,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_etruscan,,world,707.132,0.307,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_lower_niger,,world,693.120,0.301,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_arvernian,,world,673.987,0.293,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_germanic,,world,667.324,0.290,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_dacian,,world,657.908,0.286,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_hopewellian,,world,646.324,0.281,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_iroquoian,,world,640.895,0.279,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_sarmatian,,world,610.710,0.266,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_helvetian,,world,591.565,0.257,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_venetic,,world,591.032,0.257,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_yelang,,world,583.389,0.254,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_hyrcanian,,world,582.081,0.253,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_turdetanian,,world,572.985,0.249,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_pyu,,world,570.555,0.248,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_lemovician,,world,554.938,0.241,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_carnutian,,world,549.643,0.239,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_wuhuan,,world,533.146,0.232,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_bessian,,world,525.000,0.228,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_leucosyrian,,world,517.158,0.225,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_zapotec,,world,499.903,0.217,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_mon,,world,487.863,0.212,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_suebian,,world,470.888,0.205,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_northern_azanian,,world,462.432,0.201,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_macronian,,world,459.624,0.200,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_plains_woodland,,world,459.397,0.200,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_judean,,world,457.467,0.199,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_comanaean,,world,450.000,0.196,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_samhan,,world,449.649,0.195,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_bactrian,,world,449.363,0.195,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_kwale,,world,446.610,0.194,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_tibeto_burman,,world,446.546,0.194,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_pictonian,,world,442.224,0.192,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_anga_prakrit,,world,430.210,0.187,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_senonian,,world,428.935,0.186,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_sequanian,,world,428.174,0.186,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_sapaean,,world,427.639,0.186,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_syriac,,world,425.871,0.185,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_urewe,,world,417.073,0.181,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_xianbei,,world,388.048,0.169,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_ngovo,,world,383.409,0.167,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_mossynoecian,,world,375.000,0.163,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_mixe_zoquean,,world,374.180,0.163,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_odrysian,,world,373.990,0.163,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_shauraseni_prakrit,,world,369.873,0.161,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_rhaetic,,world,362.164,0.157,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_persian,,world,358.700,0.156,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_aeduan,,world,345.853,0.150,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_allobrogian,,world,345.451,0.150,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_malay,,world,337.887,0.147,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_lingonian,,world,336.187,0.146,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_santonian,,world,328.741,0.143,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_quechua_zone,,world,327.923,0.143,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_illyrian,,world,327.575,0.142,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_saluvian,,world,324.773,0.141,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_horn_pastoral,,world,324.238,0.141,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_rutenian,,world,318.119,0.138,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_segusiavian,,world,316.494,0.138,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_andecavian,,world,316.141,0.137,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_recuay,,world,315.787,0.137,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_senegambian,,world,311.378,0.135,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_iberian,,world,299.232,0.130,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_marcomannic,,world,296.253,0.129,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_nazca,,world,288.632,0.125,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_malla_prakrit,,world,285.604,0.124,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_aulerci_eburovician,,world,285.033,0.124,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_middle_niger,,world,282.553,0.123,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_garamantian,,world,279.962,0.122,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_ligurian,,world,263.715,0.115,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_veliocassian,,world,263.544,0.115,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_volta_basin,,world,262.760,0.114,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_icenian,,world,258.107,0.112,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_zambezi_forager,,world,256.232,0.111,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_biturigan_cubian,,world,253.203,0.110,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_atrebatian,,world,250.816,0.109,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_nuragic,,world,250.000,0.109,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_aeolian,,world,240.825,0.105,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_korean,,world,239.058,0.104,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_volcan_tectosagian,,world,234.501,0.102,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_baiocassian,,world,232.525,0.101,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_hermunduric,,world,231.539,0.101,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_gallaecian,,world,230.333,0.100,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_unellian,,world,229.118,0.100,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_tiwanaku,,world,226.247,0.098,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_caletian,,world,225.671,0.098,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_ambari_horizon,,world,225.493,0.098,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_samoan,,world,225.000,0.098,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_qiang,,world,224.980,0.098,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_audumbara_hill,,world,223.709,0.097,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_chalybian,,world,223.229,0.097,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_cilician_pedian,,world,222.728,0.097,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_macedonian,,world,221.037,0.096,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_musulamian,,world,218.007,0.095,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_volcan_arecomican,,world,217.342,0.094,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_redonian,,world,213.784,0.093,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_tai,,world,213.696,0.093,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_kaushambi_prakrit,,world,212.254,0.092,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_ionian,,world,211.511,0.092,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_arevacian,,world,210.101,0.091,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_cilician_trachean,,world,207.228,0.090,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_namnetian,,world,204.004,0.089,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_tibarenian,,world,202.288,0.088,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_nok,,world,200.964,0.087,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_armorican,,world,200.896,0.087,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_pelendonian,,world,200.839,0.087,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_parisian,,world,199.092,0.087,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_suionian,,world,197.125,0.086,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_ilercavonian,,world,194.411,0.085,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_tongan,,world,192.475,0.084,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_chadic,,world,190.757,0.083,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_wusun,,world,188.729,0.082,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_west_mexican,,world,187.908,0.082,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_osismian,,world,187.872,0.082,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_turonian,,world,187.456,0.082,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_carpetanian,,world,185.730,0.081,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_viviscan,,world,184.700,0.080,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_auscian,,world,184.622,0.080,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_vaccaean,,world,179.791,0.078,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_ceutronian,,world,179.254,0.078,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_petrocorian,,world,175.791,0.076,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_carian,,world,175.355,0.076,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_bastetan,,world,173.490,0.075,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_aulerci_cenomanian,,world,172.324,0.075,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_yilou,,world,169.621,0.074,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_paphlagonian,,world,169.392,0.074,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_bellovacian,,world,168.607,0.073,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_vocontian,,world,168.503,0.073,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_vasconian,,world,167.014,0.073,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_new_guinean,,world,166.400,0.072,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_cadurcian,,world,166.108,0.072,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_micronesian,,world,165.457,0.072,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_helvian,,world,164.245,0.071,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_arjunayana_prakrit,,world,161.359,0.070,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_henetian,,world,161.349,0.070,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_brigantian,,world,158.882,0.069,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_elusatian,,world,158.117,0.069,generated-cross-table,audit,Generated AD 1 base-pop total
global_culture,antq_mysian,,world,158.093,0.069,generated-cross-table,audit,Generated AD 1 base-pop total
