design_tag,government_type,heir_selection,ruler,heir,consort,active_regent,regency,start_regency_date,end_regency_date,reform,privileges,laws,societal_values,source,confidence,note
HAN,monarchy,cognatic_primogeniture,,antq_emperor_ping,,antq_wang_mang,nobles_estate_regency,1.1.1,6.2.3,antq_han_imperial_bureaucracy,antq_han_palace_bureau|antq_wang_clan_regency,antq_han_administration_law=antq_commandery_bureaucracy|antq_han_coinage_law=antq_wuzhu_copper_cash,centralization_vs_decentralization=65|traditionalist_vs_innovative=15|capital_economy_vs_traditional_economy=35,P8.3;P13;BHR;CTP-WM;BM-WUZHU,secure,Technical monarchy adapter. Local start files establish a minor monarch as the regency heir with no concurrent ruler term; Wang Mang's documented affinal-regency network uses a bounded nobles-estate proxy and ends when Ping dies in 6 CE. It must not pre-script the future usurpation or later coin reforms.
PAR,monarchy,cognatic_primogeniture,antq_phraates_v,,antq_musa,,,,,antq_parthian_king_of_kings,antq_parthian_great_house_autonomy,antq_parthian_autonomy_law=antq_great_house_compact,centralization_vs_decentralization=-35|aristocracy_vs_plutocracy=-70|capital_economy_vs_traditional_economy=25,P8.2;P13;CAH-XI;OCD,secure,Technical monarchy adapter for the Arsacid noble-house polity and Musa's documented co-rule.
MAU,monarchy,cognatic_primogeniture,antq_juba_ii,,antq_cleopatra_selene_ii,,,,,antq_mauretanian_client_kingship,antq_client_royal_autonomy,antq_client_governance_law=antq_roman_client_compact,centralization_vs_decentralization=10|aristocracy_vs_plutocracy=-20|capital_economy_vs_traditional_economy=25,P8.1;P8.5;P11;P13;CAH-XI;OCD;OCD-PTO,secure,Dedicated Mauretanian client-court profile for Juba II and Cleopatra Selene II balancing royal domains cities ports and frontier service without treating the kingdom as a uniform Roman administration.
BER,tribe,tribal_oldest_male,random,,,,,,,antq_tribal_kingdom,antq_tribal_elder_council,antq_tribal_governance_law=antq_elder_council,centralization_vs_decentralization=-55|traditionalist_vs_innovative=-45|aristocracy_vs_plutocracy=-50|capital_economy_vs_traditional_economy=75,TRE-GAE;SOR-AFRICA-FRONTIER;P8.5;P13,contested,Anonymous Gaetulian high-plateau adapter; the classical umbrella does not identify one AD 1 ruler state or common constitution.
MUS,tribe,tribal_oldest_male,random,,,,,,,antq_tribal_kingdom,antq_tribal_elder_council,antq_tribal_governance_law=antq_elder_council,centralization_vs_decentralization=-45|traditionalist_vs_innovative=-40|aristocracy_vs_plutocracy=-45|capital_economy_vs_traditional_economy=70,TAC-ANN-TACF;SOR-AFRICA-FRONTIER;P8.5;P13,contested,Anonymous Musulamian frontier adapter; Tacitus's AD 17 war narrative does not supply an AD 1 ruler fixed border or formal constitution.
BAR,tribe,tribal_oldest_male,random,,,,,,,antq_horn_pastoral_network,antq_tribal_elder_assembly_hearing|antq_tribal_seasonal_cattle_compacts,antq_tribal_governance_law=antq_elder_council,centralization_vs_decentralization=-65|traditionalist_vs_innovative=-35|aristocracy_vs_plutocracy=-60|capital_economy_vs_traditional_economy=70,AJA-SOMALILAND;PME-BARBARIA;P8.5;P13,contested,Anonymous Guban pastoral-network adapter; archaeology supports mobile heterogeneous exchange communities and rejects a centralized-state reading.
AVA,tribe,tribal_oldest_male,random,,,,,,,antq_far_side_port_chiefdom,antq_tribal_elder_assembly_hearing|antq_tribal_river_exchange_protection,antq_tribal_governance_law=antq_elder_council,centralization_vs_decentralization=-30|traditionalist_vs_innovative=-20|aristocracy_vs_plutocracy=-35|capital_economy_vs_traditional_economy=25,PME-BARBARIA;AJA-SOMALILAND;P8.5;P13,contested,Anonymous Avalites port-chief adapter; the Periplus supports separate leadership but supplies no ruler name dynasty or constitutional procedure.
MLA,tribe,tribal_oldest_male,random,,,,,,,antq_far_side_port_chiefdom,antq_tribal_elder_assembly_hearing|antq_tribal_river_exchange_protection,antq_tribal_governance_law=antq_elder_council,centralization_vs_decentralization=-25|traditionalist_vs_innovative=-15|aristocracy_vs_plutocracy=-30|capital_economy_vs_traditional_economy=20,PME-BARBARIA;AJA-SOMALILAND;P8.5;P13,contested,Anonymous Malao port-chief adapter; the Periplus supports separate leadership but supplies no ruler name dynasty or constitutional procedure.
MUN,tribe,tribal_oldest_male,random,,,,,,,antq_far_side_port_chiefdom,antq_tribal_elder_assembly_hearing|antq_tribal_river_exchange_protection,antq_tribal_governance_law=antq_elder_council,centralization_vs_decentralization=-30|traditionalist_vs_innovative=-15|aristocracy_vs_plutocracy=-35|capital_economy_vs_traditional_economy=20,PME-BARBARIA;AJA-SOMALILAND;P8.5;P13,contested,Anonymous Mundu port-chief adapter; Xiis archaeology supports substantial exchange without sedentary political centralization.
MOS,tribe,tribal_oldest_male,random,,,,,,,antq_far_side_port_chiefdom,antq_tribal_elder_assembly_hearing|antq_tribal_river_exchange_protection,antq_tribal_governance_law=antq_elder_council,centralization_vs_decentralization=-30|traditionalist_vs_innovative=-15|aristocracy_vs_plutocracy=-35|capital_economy_vs_traditional_economy=20,PME-BARBARIA;AJA-SOMALILAND;P8.5;P13,contested,Anonymous Mosyllon port-chief adapter; the Qandala location and political procedure remain contested.
ARO,tribe,tribal_oldest_male,random,,,,,,,antq_far_side_port_chiefdom,antq_tribal_elder_assembly_hearing|antq_tribal_river_exchange_protection,antq_tribal_governance_law=antq_elder_council,centralization_vs_decentralization=-25|traditionalist_vs_innovative=-10|aristocracy_vs_plutocracy=-30|capital_economy_vs_traditional_economy=15,PME-BARBARIA;AJA-SOMALILAND;P8.5;P13,contested,Anonymous Aromata Emporion port-chief adapter emphasizing the incense exchange without inventing a monopoly office.
OPO,tribe,tribal_oldest_male,random,,,,,,,antq_far_side_port_chiefdom,antq_tribal_elder_assembly_hearing|antq_tribal_river_exchange_protection,antq_tribal_governance_law=antq_elder_council,centralization_vs_decentralization=-20|traditionalist_vs_innovative=-10|aristocracy_vs_plutocracy=-25|capital_economy_vs_traditional_economy=10,PME-BARBARIA;AJA-SOMALILAND;UOA-PERIPLUS;P8.5;P13,contested,Anonymous Opone port-chief adapter; exchange importance is secure but its ruler offices and exact AD 1 reach are not.
HAU,tribe,tribal_oldest_male,random,,,,,,,antq_horn_pastoral_network,antq_tribal_elder_assembly_hearing|antq_tribal_seasonal_cattle_compacts,antq_tribal_governance_law=antq_elder_council,centralization_vs_decentralization=-75|traditionalist_vs_innovative=-40|aristocracy_vs_plutocracy=-70|capital_economy_vs_traditional_economy=80,AJA-SOMALILAND;P8.5;P13,contested,Anonymous Haud mobile-pastoral adapter; no later ethnic clan state or fixed grazing border is projected backward.
AZA,tribe,tribal_oldest_male,random,,,,,,,antq_horn_pastoral_network,antq_tribal_elder_assembly_hearing|antq_tribal_river_exchange_protection,antq_tribal_governance_law=antq_elder_council,centralization_vs_decentralization=-60|traditionalist_vs_innovative=-30|aristocracy_vs_plutocracy=-55|capital_economy_vs_traditional_economy=55,PME-BARBARIA;P8.5;P13,contested,Anonymous northern-Azanian coast and river-course adapter; later Swahili urbanism and state structures are not backdated.
WAF,tribe,tribal_oldest_male,random,,,,,,,antq_west_african_savanna_compound_network,antq_tribal_elder_assembly_hearing|antq_tribal_free_household_muster|antq_tribal_river_exchange_protection,antq_tribal_governance_law=antq_elder_council,centralization_vs_decentralization=-70|traditionalist_vs_innovative=-25|aristocracy_vs_plutocracy=-65|capital_economy_vs_traditional_economy=70,JAH-HAUSALAND;JAR-WA-NETWORKS;P8.5;P13,contested,Anonymous Kebbi riverine-savanna adapter; later Hausa institutions statehood and language are not backdated.
ZMP,tribe,tribal_oldest_male,random,,,,,,,antq_west_african_savanna_compound_network,antq_tribal_elder_assembly_hearing|antq_tribal_free_household_muster|antq_tribal_seasonal_cattle_compacts,antq_tribal_governance_law=antq_elder_council,centralization_vs_decentralization=-72|traditionalist_vs_innovative=-25|aristocracy_vs_plutocracy=-68|capital_economy_vs_traditional_economy=75,JAH-HAUSALAND;JAR-WA-NETWORKS;P8.5;P13,contested,Anonymous Zamfara plateau adapter; later Hausa institutions statehood and language are not backdated.
KPC,tribe,tribal_oldest_male,random,,,,,,,antq_west_african_savanna_compound_network,antq_tribal_elder_assembly_hearing|antq_tribal_free_household_muster|antq_tribal_river_exchange_protection,antq_tribal_governance_law=antq_elder_council,centralization_vs_decentralization=-68|traditionalist_vs_innovative=-20|aristocracy_vs_plutocracy=-62|capital_economy_vs_traditional_economy=65,JAH-HAUSALAND;JAR-WA-NETWORKS;P8.5;P13,contested,Anonymous Katsina plain adapter; the later Hausa city-state and its offices are not backdated.
GTC,tribe,tribal_oldest_male,random,,,,,,,antq_west_african_savanna_compound_network,antq_tribal_elder_assembly_hearing|antq_tribal_free_household_muster|antq_tribal_seasonal_cattle_compacts,antq_tribal_governance_law=antq_elder_council,centralization_vs_decentralization=-75|traditionalist_vs_innovative=-25|aristocracy_vs_plutocracy=-70|capital_economy_vs_traditional_economy=75,JAH-HAUSALAND;JAR-WA-NETWORKS;P8.5;P13,contested,Anonymous Gobir Tarka adapter; the later Gobir state and capital traditions are not backdated.
NSK,tribe,tribal_oldest_male,random,,,,,,,antq_west_african_ironworking_network,antq_tribal_elder_assembly_hearing|antq_tribal_free_household_muster|antq_tribal_grove_custodianship,antq_tribal_governance_law=antq_elder_council,centralization_vs_decentralization=-62|traditionalist_vs_innovative=-5|aristocracy_vs_plutocracy=-60|capital_economy_vs_traditional_economy=55,HER-LEJJA;P8.5;P13,contested,Anonymous southeastern Nigerian ironworking adapter; furnace evidence does not recover one polity office structure or ethnicity.
OUE,tribe,tribal_oldest_male,random,,,,,,,antq_west_african_forest_network,antq_tribal_elder_assembly_hearing|antq_tribal_grove_custodianship|antq_tribal_river_exchange_protection,antq_tribal_governance_law=antq_elder_council,centralization_vs_decentralization=-82|traditionalist_vs_innovative=-30|aristocracy_vs_plutocracy=-75|capital_economy_vs_traditional_economy=82,OUP-BENIN;MET-IRON;P8.5;P13,contested,Anonymous lower-Oueme forest adapter; Ketu Dahomey and later dynastic traditions are not backdated.
VIC,tribe,tribal_oldest_male,random,,,,,,,antq_west_african_ironworking_network,antq_tribal_elder_assembly_hearing|antq_tribal_free_household_muster|antq_tribal_river_exchange_protection,antq_tribal_governance_law=antq_elder_council,centralization_vs_decentralization=-72|traditionalist_vs_innovative=-15|aristocracy_vs_plutocracy=-68|capital_economy_vs_traditional_economy=68,JAR-WA-NETWORKS;MET-IRON;P8.5;P13,contested,Anonymous Volta-Comoe interfluve adapter; the later Kong town trade network and state are not backdated.
BSW,tribe,tribal_oldest_male,random,,,,,,,antq_west_african_forest_network,antq_tribal_elder_assembly_hearing|antq_tribal_grove_custodianship|antq_tribal_river_exchange_protection,antq_tribal_governance_law=antq_elder_council,centralization_vs_decentralization=-85|traditionalist_vs_innovative=-30|aristocracy_vs_plutocracy=-78|capital_economy_vs_traditional_economy=85,JAH-GHANA;JAR-WA-NETWORKS;P8.5;P13,contested,Anonymous Bosumtwi forest adapter; Kumasi Asante and later earthwork settlement density are not backdated.
BNT,tribe,tribal_oldest_male,random,,,,,,,antq_early_ironworking_community_network,antq_tribal_elder_assembly_hearing|antq_tribal_river_exchange_protection|antq_tribal_free_household_muster,antq_tribal_governance_law=antq_elder_council,centralization_vs_decentralization=-65|traditionalist_vs_innovative=-20|aristocracy_vs_plutocracy=-65|capital_economy_vs_traditional_economy=65,SCI-CONGO-RAINFOREST;NGOVO-GROUP;P8.5;P13,contested,Anonymous lower-Congo material-horizon adapter; pottery and settlement distributions do not establish one ethnicity ruler or constitution.
URW,tribe,tribal_oldest_male,random,,,,,,,antq_early_ironworking_community_network,antq_tribal_elder_assembly_hearing|antq_tribal_river_exchange_protection|antq_tribal_free_household_muster,antq_tribal_governance_law=antq_elder_council,centralization_vs_decentralization=-60|traditionalist_vs_innovative=-15|aristocracy_vs_plutocracy=-60|capital_economy_vs_traditional_economy=55,JAH-BANTU-MOBILITY;AZA-UREWE;P8.5;P13,contested,Anonymous Great Lakes Urewe adapter; a long-lived ceramic and ironworking horizon is not converted into a single people or state.
KWL,tribe,tribal_oldest_male,random,,,,,,,antq_early_ironworking_community_network,antq_tribal_elder_assembly_hearing|antq_tribal_river_exchange_protection|antq_tribal_free_household_muster,antq_tribal_governance_law=antq_elder_council,centralization_vs_decentralization=-55|traditionalist_vs_innovative=-10|aristocracy_vs_plutocracy=-55|capital_economy_vs_traditional_economy=45,QI-EAFRICA;UC-MOMBASA;P8.5;P13,contested,Anonymous Kwale-horizon coastal adapter combining cultivation foraging herding ironworking and exchange without backdating Swahili towns.
RUV,tribe,tribal_oldest_male,random,,,,,,,antq_early_ironworking_community_network,antq_tribal_elder_assembly_hearing|antq_tribal_river_exchange_protection|antq_tribal_free_household_muster,antq_tribal_governance_law=antq_elder_council,centralization_vs_decentralization=-70|traditionalist_vs_innovative=-20|aristocracy_vs_plutocracy=-65|capital_economy_vs_traditional_economy=65,QI-EAFRICA;JAH-BANTU-MOBILITY;P8.5;P13,contested,Anonymous Ruvuma-Lurio migration-frontier adapter; no later ethnonym coastal town or fixed expansion line is projected backward.
LMP,tribe,tribal_oldest_male,random,,,,,,,antq_mobile_hunter_herder_network,antq_tribal_elder_assembly_hearing|antq_tribal_grove_custodianship,antq_tribal_governance_law=antq_elder_council,centralization_vs_decentralization=-85|traditionalist_vs_innovative=-35|aristocracy_vs_plutocracy=-80|capital_economy_vs_traditional_economy=90,OUP-SOUTH-AFRICA;JAH-BANTU-MOBILITY;P8.5;P13,contested,Anonymous Limpopo hunter-herder adapter before securely dated farmer settlement; no uniform Khoisan state or language border is asserted.
ZHF,tribe,tribal_oldest_male,random,,,,,,,antq_mobile_hunter_herder_network,antq_tribal_elder_assembly_hearing|antq_tribal_grove_custodianship,antq_tribal_governance_law=antq_elder_council,centralization_vs_decentralization=-88|traditionalist_vs_innovative=-35|aristocracy_vs_plutocracy=-82|capital_economy_vs_traditional_economy=92,OUP-SOUTH-AFRICA;JAH-BANTU-MOBILITY;P8.5;P13,contested,Anonymous Save-Zambezi hunter-herder adapter before securely dated farmer settlement; later Zimbabwean polities are not backdated.
WDP,tribe,tribal_oldest_male,random,,,,,,,antq_early_ironworking_community_network,antq_tribal_elder_assembly_hearing|antq_tribal_river_exchange_protection,antq_tribal_governance_law=antq_elder_council,centralization_vs_decentralization=-75|traditionalist_vs_innovative=-30|aristocracy_vs_plutocracy=-70|capital_economy_vs_traditional_economy=75,MEGACHAD-WADAI;P8.5;P13,contested,Anonymous eastern-Chadian plateau adapter; it explicitly does not backdate the seventeenth-century Wadai Sultanate.
BCH,tribe,tribal_oldest_male,random,,,,,,,antq_early_ironworking_community_network,antq_tribal_elder_assembly_hearing|antq_tribal_river_exchange_protection|antq_tribal_free_household_muster,antq_tribal_governance_law=antq_elder_council,centralization_vs_decentralization=-70|traditionalist_vs_innovative=-20|aristocracy_vs_plutocracy=-65|capital_economy_vs_traditional_economy=70,OUP-NOK;P8.5;P13,contested,Anonymous post-Nok Bauchi plateau adapter; the diagnostic Nok horizon has ended and no successor kingdom is invented.
NAB,monarchy,cognatic_primogeniture,antq_aretas_iv,,antq_huldu,,,,,antq_nabataean_caravan_kingship,antq_client_royal_autonomy,antq_client_governance_law=antq_roman_client_compact,centralization_vs_decentralization=10|aristocracy_vs_plutocracy=-20|capital_economy_vs_traditional_economy=25,P8.1;P8.5;P11;P13;OCD;PLE;NABATAEA-MAP;BM-HULD,secure,Dedicated caravan-kingship profile for Aretas IV and source-attested Huldu; waterworks and exchange interests are represented without inventing a uniform Nabataean bureaucracy.
KUS,monarchy,cognatic_primogeniture,antq_natakamani,,antq_amanitore,,,,,antq_kushite_dual_kingship,antq_kushite_royal_court,antq_kushite_governance_law=antq_kushite_sacral_kingship,centralization_vs_decentralization=30|traditionalist_vs_innovative=-10|capital_economy_vs_traditional_economy=20,P8.5;P13;CAH-XI;PLE,secure,Technical monarchy adapter for the named Natakamani-Amanitore co-rule; the consort slot does not settle their personal relationship.
XIO,steppe_horde,tribal_oldest_male,antq_wuzhuliu,,,,,,,antq_steppe_confederation,antq_steppe_clan_autonomy,antq_steppe_governance_law=antq_confederated_chanyu,centralization_vs_decentralization=-55|traditionalist_vs_innovative=-40|aristocracy_vs_plutocracy=-50|capital_economy_vs_traditional_economy=70,P8.3;P13;CAH-XI,secure,Technical steppe-horde adapter for the Xiongnu confederation and Wuzhuliu Chanyu.
GOG,monarchy,cognatic_primogeniture,antq_yuri_goguryeo,,,,,,,antq_early_korean_kingdom,antq_korean_royal_court,antq_early_korean_governance_law=antq_goguryeo_royal_court,centralization_vs_decentralization=25|traditionalist_vs_innovative=-15|aristocracy_vs_plutocracy=-25|capital_economy_vs_traditional_economy=35,P8.3;P13;SAM,secure,Technical monarchy adapter for the established Goguryeo kingdom under Yuri.
MCM,tribe,tribal_oldest_male,antq_maroboduus,,,,,,,antq_marcomannic_bohemian_kingship,antq_tribal_elder_council,antq_tribal_governance_law=antq_elder_council,centralization_vs_decentralization=-35|traditionalist_vs_innovative=-45|aristocracy_vs_plutocracy=-45|capital_economy_vs_traditional_economy=65,P8.7;P11;P13;CAH-XI;TAC-GER,secure,Dedicated Marcomannic royal-retinue and allied-host profile for Maroboduus's unusually organized Bohemian polity without projecting later institutions backward.
CAT,tribe,tribal_oldest_male,antq_tasciovanus,antq_cunobelinus,,,,,,antq_catuvellaunian_oppidum_kingship,antq_tribal_elder_council|antq_brittonic_druidic_council,antq_tribal_governance_law=antq_elder_council,centralization_vs_decentralization=-30|traditionalist_vs_innovative=-35|aristocracy_vs_plutocracy=-35|capital_economy_vs_traditional_economy=55,P8.7;P11;P13;CAH-XI;BM-DRU,contested,Dedicated Tasciovanian oppidum-mint and retinue profile with bounded sacred authority before Cunobelinus's later prominence; it does not reconstruct a constitutional council.
JUD,monarchy,cognatic_primogeniture,antq_herod_archelaus,,,,,,,antq_herodian_judean_ethnarchy,antq_client_royal_autonomy|antq_second_temple_priesthood,antq_client_governance_law=antq_roman_client_compact|antq_judean_temple_law=antq_temple_priestly_administration,centralization_vs_decentralization=20|aristocracy_vs_plutocracy=-20|capital_economy_vs_traditional_economy=25,P8.1;P11;P13;OCD;JOS-SAL,secure,Dedicated Herodian ethnarchy balancing dynastic authority with the Jerusalem temple establishment and toparchic assessment plus pilgrimage and Roman confirmation.
GAL,monarchy,cognatic_primogeniture,antq_herod_antipas,,,,,,,antq_herodian_galilean_tetrarchy,antq_client_royal_autonomy,antq_client_governance_law=antq_roman_client_compact,centralization_vs_decentralization=15|aristocracy_vs_plutocracy=-20|capital_economy_vs_traditional_economy=25,P8.1;P11;P13;OCD;JOS-SAL,secure,Dedicated Herodian Galilean tetrarchy balancing domains and lake fisheries with regional houses plus ritual stores and Peraean routes under Roman confirmation.
BAT,monarchy,cognatic_primogeniture,antq_philip_tetrarch,,,,,,,antq_herodian_batanean_tetrarchy,antq_client_royal_autonomy,antq_client_governance_law=antq_roman_client_compact,centralization_vs_decentralization=15|aristocracy_vs_plutocracy=-20|capital_economy_vs_traditional_economy=25,P8.1;P11;P13;OCD,secure,Dedicated northern Herodian tetrarchy balancing highland houses and sanctuaries with basalt settlements plus cisterns and frontier service under Roman patronage.
CAP,monarchy,cognatic_primogeniture,antq_archelaus_cappadocia,,,,,,,antq_cappadocian_client_kingship,antq_client_royal_autonomy,antq_client_governance_law=antq_roman_client_compact,centralization_vs_decentralization=25|aristocracy_vs_plutocracy=-25|capital_economy_vs_traditional_economy=25,P8.1;P11;P13;OCD;PLE,secure,Dedicated Cappadocian client kingship balancing royal domains and sanctuaries with highland routes plus cavalry households and Roman patronage.
COM,monarchy,cognatic_primogeniture,antq_antiochus_iii_commagene,,,,,,,antq_commagenean_client_kingship,antq_client_royal_autonomy,antq_client_governance_law=antq_roman_client_compact,centralization_vs_decentralization=20|aristocracy_vs_plutocracy=-25|capital_economy_vs_traditional_economy=25,P8.1;P11;P13;OCD;BM-COM,secure,Dedicated Commagenean client kingship balancing dynastic houses and sanctuaries with Euphrates passage plus highland cavalry and Roman-Arsacid diplomacy.
THR,monarchy,cognatic_primogeniture,antq_rhoemetalces_i,,antq_pythodoris_thrace,,,,,antq_odrysian_client_kingship,antq_client_royal_autonomy,antq_client_governance_law=antq_roman_client_compact,centralization_vs_decentralization=15|aristocracy_vs_plutocracy=-25|capital_economy_vs_traditional_economy=25,P8.1;P11;P13;OCD;TAC-THR;MGL-THR,contested,Dedicated Odrysian client kingship for Rhoemetalces I; dynastic succession and Pythodoris's start role remain deliberately contested.
BOS,monarchy,cognatic_primogeniture,antq_dynamis,,,,,,,antq_bosporan_client_kingship,antq_client_royal_autonomy,antq_client_governance_law=antq_roman_client_compact,centralization_vs_decentralization=15|aristocracy_vs_plutocracy=-20|capital_economy_vs_traditional_economy=35,P8.1;P11;P13;OCD;PLE;ZAV-ASP,contested,Dedicated Bosporan client kingship for Dynamis's deliberately contested succession with Greek poleis and grain ports plus mounted households and steppe-frontier compacts.
EME,monarchy,cognatic_primogeniture,antq_iamblichus_ii,,,,,,,antq_emesan_client_dynasty,antq_client_royal_autonomy,antq_client_governance_law=antq_roman_client_compact,centralization_vs_decentralization=15|aristocracy_vs_plutocracy=-20|capital_economy_vs_traditional_economy=30,P8.1;P11;P13;OCD;PLE;LBD-EME,contested,Dedicated Emesan client dynasty for Iamblichus II balancing court and sanctuary interests with caravan exchange plus mounted service while later descent remains contested.
OSR,monarchy,cognatic_primogeniture,antq_abgar_v,,,,,,,antq_buffer_kingdom,antq_border_court_autonomy,antq_buffer_kingdom_law=antq_balanced_allegiance,centralization_vs_decentralization=5|aristocracy_vs_plutocracy=-25|capital_economy_vs_traditional_economy=35,P8.2;P13;OCD;PLE,contested,Technical border-kingdom adapter for Abgar V's Osroene and its position between Roman and Arsacid influence.
ATR,monarchy,cognatic_primogeniture,antq_ariobarzanes_ii_atropatene,,,,,,,antq_parthian_subkingdom,antq_parthian_subking_autonomy,antq_parthian_subking_law=antq_regional_court_compact,centralization_vs_decentralization=-20|aristocracy_vs_plutocracy=-45|capital_economy_vs_traditional_economy=30,P8.2;P13;OCD;PLE;IRAN-ATR,contested,Technical regional sub-kingdom adapter for Ariobarzanes II's Media Atropatene.
ARM,monarchy,cognatic_primogeniture,antq_tigranes_iv,,antq_erato_armenia,,,,,antq_artaxiad_highland_kingship,antq_border_court_autonomy,antq_buffer_kingdom_law=antq_balanced_allegiance,centralization_vs_decentralization=10|aristocracy_vs_plutocracy=-30|capital_economy_vs_traditional_economy=30,P8.2;P11;P13;CAH-XI;PLE;IRAN-ARM,contested,Dedicated highland-kingship profile for the contested Tigranes IV-Erato court; dynasts and frontier diplomacy are modeled without claiming a recovered Artaxiad constitution.
IBR,monarchy,cognatic_primogeniture,antq_pharasmanes_i,,,,,,,antq_buffer_kingdom,antq_border_court_autonomy,antq_buffer_kingdom_law=antq_balanced_allegiance,centralization_vs_decentralization=10|aristocracy_vs_plutocracy=-25|capital_economy_vs_traditional_economy=30,P8.2;P13;OCD;PLE;TOUM-IBR,contested,Technical border-kingdom adapter for Pharasmanes I's Caucasian Iberia; exact accession chronology remains open.
